,ADDRESS,STOPS,WEIGHT
7557,1800 E RIVERSIDE,28,0.05436893203883495
3482,12000 BLOCK NORTH IH 35,28,0.05436893203883495
18722,6900 MANCHACA RD,28,0.05436893203883495
14455,4800 BLOCK SOUTH IH 35 SERVICE ROAD,28,0.05436893203883495
19435,7100 BLOCK US HIGHWAY 290 EAST,27,0.05242718446601942
21630,8300 BLOCK SOUTH 1ST STREET,27,0.05242718446601942
13881,4500 BLOCK NORTH IH 35,27,0.05242718446601942
20637,7900 BLK N. LAMAR BLVD,27,0.05242718446601942
22274,8800 N MOPAC EXPY NB,27,0.05242718446601942
10124,2600 E MARTIN LUTHER KING,27,0.05242718446601942
1819,1100 AIRPORT BLVD,27,0.05242718446601942
3928,12300 RIATA TRACE,27,0.05242718446601942
22360,8900 BLOCK RESEARCH BOULEVARD SERVICE,27,0.05242718446601942
6139,14000 AVERY RANCH BLVD,27,0.05242718446601942
6169,14000 BLOCK SOUTH IH 35,27,0.05242718446601942
20389,7700 BLOCK NORTH MOPAC EXPRESSWAY,27,0.05242718446601942
2434,11200 S IH 35,27,0.05242718446601942
18315,6600 S MOPAC EXPY,27,0.05242718446601942
10439,2800 BLOCK SOUTH IH 35,27,0.05242718446601942
19808,7300 LOYOLA LN,27,0.05242718446601942
121,100 BLK W. RUNDBERG LN,27,0.05242718446601942
6369,14600 BLOCK NORTH IH 35,27,0.05242718446601942
9786,2500 BLOCK BARTON SPRINGS ROAD,27,0.05242718446601942
5349,13500 N IH 35,27,0.05242718446601942
13054,4000 BLOCK AIRPORT BOULEVARD,26,0.05048543689320388
22225,8800 BLOCK NORTH MOPAC EXPRESSWAY,26,0.05048543689320388
6958,1600 ED BLUESTEIN,26,0.05048543689320388
17112,600 MONTOPOLIS,26,0.05048543689320388
27738,S IH 35 SVRD SB,26,0.05048543689320388
5324,13500 BLOCK RESEARCH BOULEVARD,26,0.05048543689320388
5287,13400 S IH 35 NB,26,0.05048543689320388
6191,14000 N MOPAC EXPY,26,0.05048543689320388
4460,12900 N US 183 HWY,26,0.05048543689320388
22876,9000 BLOCK RESEARCH BOULEVARD,26,0.05048543689320388
3493,12000 BLOCK NORTH MOPAC EXPRESSWAY,26,0.05048543689320388
14310,4700 E CESAR CHAVEZ ST,26,0.05048543689320388
5057,13200 N US 183 HWY,26,0.05048543689320388
20726,7900 N. LAMAR BLVD,26,0.05048543689320388
23450,9400 RESEARCH BLVD,26,0.05048543689320388
9223,2300 BARTON SPRINGS RD,25,0.04854368932038835
13202,4000 S US 183 HWY NB,25,0.04854368932038835
4366,12800 N US 183 HWY NB,25,0.04854368932038835
1015,10000 N MOPAC,25,0.04854368932038835
11680,3400 BLOCK EAST MARTIN LUTHER KING,25,0.04854368932038835
541,100 W. RUNDBERG LN,25,0.04854368932038835
21351,8100 BLOCK NORTH MOPAC EXPRESSWAY,25,0.04854368932038835
13583,4300 DAVIS LN,25,0.04854368932038835
20882,800 BLOCK EAST WILLIAM CANNON DRIVE,25,0.04854368932038835
5684,13800 AVERY RANCH BLVD,25,0.04854368932038835
14039,4600 BLK CESAR CHAVEZ,25,0.04854368932038835
6937,1600 E OLTORF,25,0.04854368932038835
27256,NORTH IH35 SERVICE ROAD,25,0.04854368932038835
13320,4100 BLOCK SOUTH 183,25,0.04854368932038835
14412,4800 BLK CESAR CHAVEZ,25,0.04854368932038835
17347,6000 N IH 35,25,0.04854368932038835
5766,13800 TO 13600 BLOCK NORTH IH 35,25,0.04854368932038835
19638,7200 FM 2222,25,0.04854368932038835
21475,8200 BLOCK MANCHACA ROAD,25,0.04854368932038835
21520,8200 MANCHACA,25,0.04854368932038835
19945,7400 E BEN WHITE BLVD WB,25,0.04854368932038835
5565,13700 AVERY RANCH BLVD,24,0.04660194174757282
7623,1800 S IH 35 NB,24,0.04660194174757282
16975,600 BLOCK NORTH IH 35 SERVICE ROAD,24,0.04660194174757282
6272,14200 AVERY RANCH BLVD,24,0.04660194174757282
5069,13200 N US 183 SVRD NB,24,0.04660194174757282
4431,12900 BLOCK SOUTH IH 35,24,0.04660194174757282
15576,5200 DUVAL RD,24,0.04660194174757282
16302,5600 MANCHACA RD,24,0.04660194174757282
6841,1600 BLOCK EAST RIVERSIDE DRIVE,24,0.04660194174757282
22228,8800 BLOCK RESEARCH BOULEVARD,24,0.04660194174757282
7156,1700 BLOCK ED BLUESTEIN BOULEVARD,24,0.04660194174757282
6942,1600 E RIVERSIDE DR,24,0.04660194174757282
8225,200 E BRAKER,24,0.04660194174757282
181,100 BLOCK EAST BRAKER LANE,24,0.04660194174757282
9361,2300 ENFIELD RD,24,0.04660194174757282
17958,6400 N MOPAC EXPY,24,0.04660194174757282
9806,2500 BLOCK EAST RIVERSIDE DRIVE,24,0.04660194174757282
25016,BLOCK N IH 35 SVRD NB,24,0.04660194174757282
11683,3400 BLOCK EAST MARTIN LUTHER KING JR,24,0.04660194174757282
15161,5000 BLOCK SOUTH CONGRESS AVENUE,24,0.04660194174757282
16397,5700 BLOCK EAST WILLIAM CANNON DRIVE,23,0.04466019417475728
250,100 BLOCK SOUTH 1ST STREET,23,0.04466019417475728
23835,9800 ANDERSON MILL RD,23,0.04466019417475728
14450,4800 BLOCK SOUTH 1ST STREET,23,0.04466019417475728
19574,7200 BLOCK FM 2222 ROAD,23,0.04466019417475728
21618,8300 BLOCK NORTH IH 35,23,0.04466019417475728
16160,5500 S MOPAC,23,0.04466019417475728
16767,5900 MANCHACA RD,23,0.04466019417475728
22025,8600 N MOPAC,23,0.04466019417475728
20742,7900 S MOPAC EXPWY NB,23,0.04466019417475728
3595,12000 PECAN CREEK PKWY,23,0.04466019417475728
15525,5200 BLOCK EAST RIVERSIDE,23,0.04466019417475728
5516,13600 N US HWY 183 NB,23,0.04466019417475728
13872,4500 BLOCK MANCHACA ROAD,23,0.04466019417475728
17359,6000 N MOPAC,23,0.04466019417475728
19798,7300 E US HWY 290 SVRD WB,23,0.04466019417475728
19193,7000 BLOCK EAST US HIGHWAY 290,23,0.04466019417475728
10508,2800 S IH 35 NB,23,0.04466019417475728
4388,12800 S IH 35,23,0.04466019417475728
4120,12500 RESEARCH BLVD,23,0.04466019417475728
1074,1000BL EAST DEEN KEETON,23,0.04466019417475728
10871,300 E BRAKER LN,23,0.04466019417475728
23529,9500 BLOCK NORTH LAMAR BOULEVARD,22,0.04271844660194175
2172,11000 BLOCK NORTH IH 35,22,0.04271844660194175
8094,200 BLK E. BRAKER LN,22,0.04271844660194175
11631,3300 S IH 35 NB,22,0.04271844660194175
16629,5800 N CAPITAL OF TEXAS HWY NB,22,0.04271844660194175
8495,2000 ED BLUESTEIN,22,0.04271844660194175
22921,9000 N IH 35,22,0.04271844660194175
19066,700 MONTOPOLIS,22,0.04271844660194175
28386,WEST 24TH STREET,22,0.04271844660194175
16117,5500 N IH 35,22,0.04271844660194175
23590,9500 N LAMAR BLVD,22,0.04271844660194175
11584,3300 E SH 71,22,0.04271844660194175
18926,700 BLOCK NORTH IH 35 SERVICE ROAD,22,0.04271844660194175
6251,14100 BLOCK AVERY RANCH BOULEVARD,22,0.04271844660194175
